epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,30181.8,1.9568,1.12394,1.0443,0.54202,0.46402,0.47292,0.2128,1.87622,1.12676,1.04584,0.00128599,0.00128599,0.00128599
157,30363.8,1.93931,1.11205,1.04075,0.5427,0.46467,0.47407,0.21326,1.8757,1.12585,1.04565,0.00123596,0.00123596,0.00123596
158,30546.2,1.96403,1.11842,1.04384,0.55054,0.46446,0.47493,0.2134,1.87523,1.12494,1.04544,0.00118687,0.00118687,0.00118687
159,30728.6,1.95196,1.12415,1.04605,0.55539,0.46376,0.47536,0.21416,1.87467,1.12392,1.04525,0.00113873,0.00113873,0.00113873
160,30911.1,1.95319,1.11445,1.05113,0.55802,0.4627,0.47695,0.21452,1.87427,1.12283,1.04509,0.00109156,0.00109156,0.00109156
161,31092,1.95704,1.12468,1.0433,0.55915,0.46265,0.47875,0.21498,1.87383,1.12194,1.04493,0.00104537,0.00104537,0.00104537
162,31273.8,1.95395,1.11807,1.04254,0.55932,0.46558,0.47879,0.2153,1.87335,1.12093,1.04474,0.00100016,0.00100016,0.00100016
163,31456.6,1.94176,1.09246,1.04107,0.56334,0.46182,0.47839,0.21539,1.87285,1.11998,1.04455,0.000955951,0.000955951,0.000955951
164,31638.3,1.93739,1.10185,1.03778,0.57132,0.46495,0.47872,0.21562,1.87234,1.11889,1.04438,0.000912754,0.000912754,0.000912754
165,31820.4,1.94075,1.1107,1.04531,0.57642,0.46435,0.47956,0.21649,1.87179,1.11792,1.04419,0.000870577,0.000870577,0.000870577
166,32003.7,1.94585,1.10462,1.03758,0.57837,0.46381,0.47982,0.21648,1.8713,1.11704,1.04401,0.000829431,0.000829431,0.000829431
167,32186.1,1.9403,1.10964,1.04462,0.5405,0.47307,0.4801,0.21656,1.87071,1.11614,1.0438,0.000789327,0.000789327,0.000789327
168,32367.9,1.93981,1.11129,1.04159,0.54415,0.47241,0.48119,0.21705,1.87028,1.11528,1.04363,0.000750274,0.000750274,0.000750274
169,32550.2,1.93195,1.10612,1.04284,0.54999,0.4714,0.48157,0.21734,1.8698,1.1143,1.04345,0.000712282,0.000712282,0.000712282
170,32733,1.9401,1.09957,1.04197,0.55839,0.47002,0.48246,0.21777,1.86932,1.11346,1.04329,0.00067536,0.00067536,0.00067536
171,32918.3,1.94908,1.10248,1.04448,0.56675,0.46731,0.48276,0.21792,1.86882,1.11251,1.04316,0.000639518,0.000639518,0.000639518
